,time,site
148651,2022-06-29,ukk3102-28600
103075,2021-08-13,ukh1407-10830
1454,2020-05-17,ukj3400-18350
80927,2021-06-21,ukj3308-16900
75460,2021-06-08,ukj2401-15200
155247,2022-07-15,ukj2201-14550
36306,2020-08-08,ukh1303-10400
106656,2021-08-21,ukk3106-27800
157971,2022-07-21,ukk3106-27500
59300,2021-04-30,ukk3105-31400
129478,2022-05-15,ukd4312-43000
127389,2022-05-10,uke1200-08800
170932,2022-08-22,ukk2204-20000
168227,2022-08-15,uke1200-08900
174364,2022-08-30,ukk3104-33400
133156,2022-05-23,ukk4200-23300
137531,2022-06-03,ukh1406-10900
74035,2021-06-04,ukk4305-25700
99927,2021-08-05,ukk3105-30100
34624,2020-08-04,ukh1303-10600
59659,2021-05-01,ukk3101-26570
139922,2022-06-08,ukk4305-24700
102959,2021-08-12,ukk4306-23000
155067,2022-07-14,ukk4301-22200
185500,2022-09-27,uke2206-07700
72347,2021-05-31,ukk4304-34700
60391,2021-05-03,ukj3305-16700
42246,2020-08-22,ukj2201-14400
111061,2021-09-01,ukj2100-14950
60460,2021-05-03,ukk2102-19400
163419,2022-08-03,ukk3104-33600
37509,2020-08-11,ukd1101-46100
29486,2020-07-23,ukc1404-05800
1226,2020-05-16,ukk4301-21700
36693,2020-08-09,ukd5400-40800
152602,2022-07-09,ukc2106-04500
124603,2022-04-30,ukk2101-19000
146778,2022-06-25,ukh1303-10350
6927,2020-05-30,ukj3400-18350
26459,2020-07-15,ukk3106-32150
93832,2021-07-22,ukf3102-09300
15513,2020-06-19,ukk3106-32150
20205,2020-06-30,ukk4306-22400
31099,2020-07-26,ukk4100-26400
20280,2020-07-01,uke1200-08100
48592,2020-09-06,ukj3307-16400
110961,2021-09-01,ukd1103-44800
97861,2021-07-31,ukk3106-28200
23841,2020-07-09,ukk2206-20500
139670,2022-06-08,ukj2201-14550
163906,2022-08-04,ukk4301-22000
131702,2022-05-20,ukj3308-17000
93642,2021-07-21,ukk3105-30100
111548,2021-09-02,ukj4210-12350
25731,2020-07-14,ukd1203-45675
47151,2020-09-02,ukk4306-22600
141664,2022-06-13,ukc2300-05500
109126,2021-08-27,ukk3103-29900
125228,2022-05-05,ukc1404-05900
174753,2022-08-31,ukk3102-28550
16686,2020-06-22,ukk2206-20700
13385,2020-06-14,ukk3105-31000
100913,2021-08-08,ukd4200-42100
145687,2022-06-22,ukk2302-35500
131196,2022-05-19,ukf3102-09400
47122,2020-09-02,ukk4304-34100
28733,2020-07-21,ukh1304-09850
187014,2022-09-30,ukk3105-31350
92253,2021-07-18,ukj3400-18350
104578,2021-08-16,ukk4100-26400
171104,2022-08-23,ukc1101-06100
47690,2020-09-04,ukh1407-10800
118620,2021-09-19,ukj2402-15600
3716,2020-05-22,ukk3106-27700
98604,2021-08-02,ukk2205-20970
87347,2021-07-06,ukk3104-33000
56702,2020-09-25,ukk3102-28600
183284,2022-09-21,ukk4304-34700
39165,2020-08-15,ukc1202-06600
61547,2021-05-06,uke1200-08100
6964,2020-05-30,ukk1202-36000
136200,2022-05-31,ukd1103-45920
74281,2021-06-05,ukk2101-19150
113560,2021-09-07,ukh3306-11750
137685,2022-06-03,ukk2206-20700
44919,2020-08-28,ukk3102-31700
155444,2022-07-15,ukk3106-27400
121082,2021-09-25,ukh1305-10100
93433,2021-07-21,ukh1305-10310
17984,2020-06-25,ukk3103-29500
123843,2022-04-28,ukk3104-32600
102947,2021-08-12,ukk4305-25800
182130,2022-09-19,uke2206-07500
115195,2021-09-11,uke2206-07600
163775,2022-08-04,ukk2204-20100
156880,2022-07-19,ukf3102-09700
71962,2021-05-31,ukc1202-06600
107241,2021-08-23,ukf3102-09400
160378,2022-07-27,ukk1202-35800
11898,2020-06-11,ukh1305-10150
137064,2022-06-02,uke1200-07900
165580,2022-08-08,ukk4200-24000
55430,2020-09-22,ukk3101-26560
162321,2022-08-01,ukd5400-40800
144396,2022-06-19,ukk2102-19400
94166,2021-07-23,ukc1202-06300
101753,2021-08-10,ukd4200-42500
153943,2022-07-12,ukh1305-10000
37634,2020-08-11,ukj2402-15800
27251,2020-07-17,ukk3103-31500
63405,2021-05-10,ukk2204-20000
119732,2021-09-22,ukc1404-05800
115753,2021-09-12,ukk1202-35900
81062,2021-06-21,ukk3104-33000
52771,2020-09-16,ukj2201-14400
139415,2022-06-07,ukk3104-33000
93151,2021-07-20,ukk2204-19700
54535,2020-09-20,ukk1202-35800
131082,2022-05-18,ukk4305-24800
113399,2021-09-06,ukk4301-22100
1878,2020-05-18,ukj3400-18600
95657,2021-07-26,ukk2102-19450
139896,2022-06-08,ukk4200-23700
173738,2022-08-29,ukh1406-10900
70314,2021-05-27,ukd1101-46100
139521,2022-06-07,ukk4306-22700
66528,2021-05-18,ukc2103-04600
182579,2022-09-20,ukh1406-10900
59357,2021-04-30,ukk4304-34600
137354,2022-06-02,ukk3106-32200
42502,2020-08-22,ukk4305-24800
16847,2020-06-23,ukc1101-06100
89894,2021-07-12,ukk3106-27600
183098,2022-09-21,ukj4210-12300
305,2020-05-14,ukk3103-29900
37651,2020-08-11,ukj3400-17500
156142,2022-07-17,ukj4204-13100
182936,2022-09-21,ukd1203-45700
110292,2021-08-30,ukj4210-12400
95609,2021-07-26,ukj4202-12100
173583,2022-08-28,ukk4200-24300
112472,2021-09-04,ukk3103-29100
146611,2022-06-24,ukk3106-28200
48955,2020-09-07,ukh1407-10850
113381,2021-09-06,ukk4200-23300
28529,2020-07-20,ukk3104-33650
85172,2021-07-01,ukk2101-19050
148468,2022-06-29,ukh1304-09850
87364,2021-07-06,ukk3105-30750
53167,2020-09-17,ukh3100-11780
186817,2022-09-30,ukj2100-14800
20762,2020-07-02,ukh3311-11500
123176,2021-09-30,ukh1305-10000
42304,2020-08-22,ukj4208-13500
161200,2022-07-29,ukj4208-13700
21567,2020-07-04,ukf3102-09600
1075,2020-05-16,ukk2101-19050
170403,2022-08-21,ukj2201-14500
124508,2022-04-30,ukh3311-11600
134040,2022-05-25,ukk4305-25900
70035,2021-05-26,ukj3308-17100
155318,2022-07-15,ukj4210-12660
103290,2021-08-13,ukk3105-31100
76293,2021-06-10,ukj2204-14000
127682,2022-05-10,ukk4200-23200
153974,2022-07-12,uki1101-11920
174246,2022-08-30,ukj4204-13100
167033,2022-08-12,ukj2201-14400
52932,2020-09-16,ukk3103-31500
59950,2021-05-02,ukj2203-14600
70163,2021-05-26,ukk3104-32600
111130,2021-09-01,ukj4210-12400
161969,2022-07-31,ukh3311-11600
28153,2020-07-19,ukk4100-26500
155491,2022-07-15,ukk4304-34200
85906,2021-07-03,ukh3306-11750
126360,2022-05-07,ukk3104-32700
76271,2021-06-10,ukh3311-11250
79607,2021-06-18,ukh1406-10900
127535,2022-05-10,ukj4210-12800
139321,2022-06-07,ukj4210-12700
87710,2021-07-07,ukk2205-20970
51505,2020-09-13,ukj2100-14900
144235,2022-06-19,uke2206-07100
170584,2022-08-21,ukk3105-30500
87910,2021-07-08,ukc2300-05500
86641,2021-07-05,ukc2103-04700
18092,2020-06-25,ukk4305-25600
105485,2021-08-19,ukc1404-05700
29385,2020-07-22,ukk3105-31200
161150,2022-07-29,ukj2401-15100
113898,2021-09-08,ukd1203-45625
143605,2022-06-17,ukk3102-31800
162237,2022-07-31,ukk4305-24900
182869,2022-09-20,ukk4305-25100
138698,2022-06-06,ukc2101-04200
47910,2020-09-04,ukk3105-31250
116290,2021-09-13,ukk3106-27500
85892,2021-07-03,ukh1406-10900
66911,2021-05-18,ukk4305-25600
132184,2022-05-21,ukk2102-19190
182562,2022-09-20,ukf3102-09700
166306,2022-08-10,ukk2205-21200
155799,2022-07-16,ukk3101-26560
176834,2022-09-06,ukk2205-21500
106567,2021-08-21,ukk2205-21100
39908,2020-08-16,ukk3105-31000
166304,2022-08-10,ukk2205-21000
101335,2021-08-09,ukd4200-42600
97737,2021-07-31,ukk1202-36000
49451,2020-09-08,ukj3400-18600
31397,2020-07-27,ukk2102-19450
77457,2021-06-13,ukd4312-42800
111075,2021-09-01,ukj2401-15200
22777,2020-07-07,ukd1102-44400
33975,2020-08-02,ukk3102-31900
156923,2022-07-19,uki1106-11940
168620,2022-08-16,ukd1203-45675
120809,2021-09-24,ukk2204-20100
167863,2022-08-14,ukh3311-11600
113847,2021-09-07,ukk4306-22400
32057,2020-07-29,ukd4312-43000
32785,2020-07-30,ukk4200-23100
149605,2022-07-01,ukk4305-24700
105414,2021-08-18,ukk3106-32400
63002,2021-05-09,ukk2302-35500
111217,2021-09-01,ukk3103-29400
98935,2021-08-03,ukj2407-15400
177952,2022-09-09,ukh1407-10830
68343,2021-05-22,ukj2402-15700
94645,2021-07-24,uke1200-07900
75146,2021-06-07,ukk2206-20300
186875,2022-09-30,ukj4204-13000
130893,2022-05-18,ukj4210-12300
126635,2022-05-08,ukj2402-15700
76188,2021-06-10,ukd1203-45625
138798,2022-06-06,ukh1407-10830
173196,2022-08-27,ukk4305-26100
64656,2021-05-13,ukk2201-18800
168208,2022-08-15,ukd4305-43550
170046,2022-08-19,ukj4210-12300
32269,2020-07-29,ukk2305-34900
40614,2020-08-18,ukj4202-12200
5076,2020-05-26,ukc2102-03900
157163,2022-07-19,ukk4200-24300
92911,2021-07-20,ukc1202-06500
33771,2020-08-02,ukf3102-09100
33820,2020-08-02,uki1101-11930
160387,2022-07-27,ukk2101-19100
106024,2021-08-20,ukh3311-11600
107766,2021-08-24,ukj4204-13200
50945,2020-09-11,ukk4307-33800
102235,2021-08-11,ukh1407-10750
119224,2021-09-20,ukk3106-27600
72180,2021-05-31,ukk2101-19000
58223,2020-09-29,ukh3100-11900
78176,2021-06-14,ukk3106-32320
103686,2021-08-14,ukk3104-32800
141111,2022-06-11,ukk3105-30300
47120,2020-09-02,ukk4301-22200
115629,2021-09-12,ukh1303-10600
142680,2022-06-15,ukj4209-12000
87001,2021-07-05,ukk4301-22000
28303,2020-07-20,ukf3102-09600
179022,2022-09-11,ukk3106-27500
105720,2021-08-19,ukk2204-19600
116641,2021-09-14,ukk3101-26530
115246,2021-09-11,uki1101-11920
87471,2021-07-07,ukc2101-04000
56376,2020-09-24,ukk4301-21600
111142,2021-09-01,ukk1202-35700
142531,2022-06-15,ukd5300-41300
110072,2021-08-29,ukk4305-26000
102,2020-05-14,ukh1303-10600
124068,2022-04-29,ukh1305-10310
116588,2021-09-14,ukk1100-36050
160509,2022-07-27,ukk3106-32200
138239,2022-06-04,ukk4305-24800
186514,2022-09-29,ukk2205-21100
100382,2021-08-06,ukk3106-32310
179863,2022-09-13,ukk3106-27400
98974,2021-08-03,ukj4209-11950
76801,2021-06-11,ukk2102-19400
42259,2020-08-22,ukj2401-15300
93861,2021-07-22,ukh3100-11800
54275,2020-09-19,ukk4301-22000
35794,2020-08-07,ukc1202-06300
20,2020-05-14,ukc2101-04250
100052,2021-08-06,ukc2106-04400
85397,2021-07-02,ukc2300-05600
173008,2022-08-27,ukk1202-35700
181063,2022-09-16,ukk3101-26700
35968,2020-08-07,ukj3400-17600
178964,2022-09-11,ukk3102-28600
159992,2022-07-26,ukk2205-21300
149564,2022-07-01,ukk3106-32300
152607,2022-07-09,ukc2203-05200
16252,2020-06-21,ukk2204-20000
165457,2022-08-08,ukk2204-19900
77713,2021-06-13,ukk3104-33350
76492,2021-06-10,ukk3106-28200
17553,2020-06-24,ukk3102-31650
147231,2022-06-26,ukh3311-11300
133233,2022-05-24,ukc2104-04280
153901,2022-07-12,ukd5400-40800
91720,2021-07-17,uke1200-08800
76617,2021-06-11,ukd4305-43260
131543,2022-05-20,ukc2102-03600
106645,2021-08-21,ukk3105-31300
180991,2022-09-16,ukj4209-11975
65520,2021-05-15,ukk2305-35100
126315,2022-05-07,ukk2206-20400
74471,2021-06-06,ukc1101-06100
123905,2022-04-28,ukk4200-23400
170038,2022-08-19,ukj4208-13400
82430,2021-06-24,ukk4307-33900
90781,2021-07-14,ukk4304-34450
141990,2022-06-13,ukk3106-32340
47804,2020-09-04,ukk2101-19020
175148,2022-09-01,ukk2205-21200
133829,2022-05-25,ukj4204-13100
105860,2021-08-19,ukk4304-34100
182571,2022-09-20,ukh1304-09900
183294,2022-09-21,ukk4305-25500
51365,2020-09-12,ukk4306-23000
63009,2021-05-09,ukk3101-26530
164911,2022-08-07,ukh3311-11100
46848,2020-09-02,ukh1407-10800
1623,2020-05-17,ukk3106-32310
35642,2020-08-06,ukk3101-26530
154119,2022-07-12,ukk3101-26800
121850,2021-09-27,ukc2300-05600
78987,2021-06-16,ukk3105-31000
100722,2021-08-07,ukk3101-26600
51564,2020-09-13,ukj4208-13300
154306,2022-07-13,ukd1203-45675
89069,2021-07-10,ukk3106-32310
176407,2022-09-05,ukk2204-20200
57898,2020-09-28,ukj4210-12800
184096,2022-09-23,ukk4200-23100
36851,2020-08-09,ukk1100-36050
86021,2021-07-03,ukk2201-17200
93282,2021-07-20,ukk4301-21600
147606,2022-06-27,uke2206-07400
48862,2020-09-07,ukc2103-04700
139996,2022-06-09,ukd4200-42500
50339,2020-09-10,ukk2102-19200
66162,2021-05-17,uke1200-08900
160170,2022-07-27,ukc2101-04250
5093,2020-05-26,ukd1102-44200
148162,2022-06-28,ukj4210-12700
133986,2022-05-25,ukk3106-32200
68780,2021-05-23,ukj3400-17500
170818,2022-08-22,ukj1402-11946
48273,2020-09-05,ukk3101-26560
150901,2022-07-05,ukc1202-06650
75667,2021-06-08,ukk4100-26400
142035,2022-06-13,ukk4305-25500
151762,2022-07-07,ukc2203-04900
98434,2021-08-02,uke2206-07500
146910,2022-06-25,ukk2101-19000
54899,2020-09-21,ukj2407-15400
36834,2020-08-09,ukj4208-13800
76873,2021-06-11,ukk3104-33200
180286,2022-09-14,ukk3106-27600
35811,2020-08-07,ukc2103-04700
27977,2020-07-19,ukj3400-18350
129025,2022-05-14,ukc2106-04400
109194,2021-08-27,ukk4200-23600
20302,2020-07-01,ukf3102-09400
151785,2022-07-07,ukd4200-42600
138365,2022-06-05,ukh1304-09900
89691,2021-07-12,ukj2100-14900
71608,2021-05-30,uke1200-08800
8161,2020-06-02,ukj2402-15650
56593,2020-09-25,ukj3308-17000
91812,2021-07-17,ukj2407-15400
139820,2022-06-08,ukk3103-29000
113527,2021-09-07,ukf3102-09500
32290,2020-07-29,ukk3102-31800
85634,2021-07-02,ukk3101-26520
47871,2020-09-04,ukk3103-29000
183191,2022-09-21,ukk3103-29900
118148,2021-09-18,ukh1305-10000
135463,2022-05-29,ukj2203-14600
89895,2021-07-12,ukk3106-27700
64670,2021-05-13,ukk2205-21500
17719,2020-06-25,ukc2204-05400
69339,2021-05-24,ukk3104-33700
92749,2021-07-19,ukk2206-20800
79586,2021-06-18,ukf3102-09300
77581,2021-06-13,ukj3400-17700
133155,2022-05-23,ukk4200-23200
150019,2022-07-02,ukk4304-34300
140098,2022-06-09,ukj2205-14300
149902,2022-07-02,ukk2305-35200
47009,2020-09-02,ukk3101-26530
114114,2021-09-08,ukk2206-20400
13735,2020-06-15,ukk2206-20300
76692,2021-06-11,ukh3311-11350
37152,2020-08-10,ukh1304-09800
49417,2020-09-08,ukj2402-15500
135019,2022-05-28,ukh3306-11750
113363,2021-09-06,ukk3106-28100
59744,2021-05-01,ukk3106-32500
162494,2022-08-01,ukk2101-19160
92794,2021-07-19,ukk3104-33000
6556,2020-05-29,ukk2102-19350
95920,2021-07-27,uke2206-07500
41110,2020-08-19,ukk2305-34900
169707,2022-08-18,ukk3102-31800
19664,2020-06-29,ukk3103-29000
110889,2021-08-31,ukk4304-34200
19837,2020-06-30,ukd1203-45675
15404,2020-06-19,ukk2201-18800
62474,2021-05-08,ukj2402-15600
66055,2021-05-16,ukk4304-34100
19331,2020-06-28,ukk4301-21900
160435,2022-07-27,ukk3101-26900
40557,2020-08-18,uki1106-11940
80362,2021-06-20,ukc2203-04900
130267,2022-05-17,ukc1101-06200
144269,2022-06-19,ukh1407-10750
96331,2021-07-28,uke1301-09000
133075,2022-05-23,ukk3102-28700
134833,2022-05-27,ukk3106-32340
36254,2020-08-08,ukd1203-45625
118733,2021-09-19,ukk2305-35100
84827,2021-06-30,ukk3104-32550
99305,2021-08-04,ukh1407-10850
170436,2022-08-21,ukj3308-17100
174101,2022-08-30,ukd4303-41900
48959,2020-09-07,ukh3100-11830
161543,2022-07-30,ukh3311-11100
182529,2022-09-20,ukd5400-40750
13719,2020-06-15,ukk2201-18750
134885,2022-05-27,ukk4305-26200
42296,2020-08-22,ukj4202-12120
117089,2021-09-15,ukk3103-31500
11191,2020-06-09,ukk2201-17300
16884,2020-06-23,ukd1103-44800
88810,2021-07-10,ukh1303-10350
148173,2022-06-28,ukk2101-19000
182150,2022-09-19,ukh1304-09900
41342,2020-08-20,uke2206-07200
11203,2020-06-09,ukk2205-20970
181684,2022-09-18,ukd5300-41200
177407,2022-09-07,ukk4305-26200
14092,2020-06-16,ukj4204-13000
168356,2022-08-15,ukj4208-13600
63096,2021-05-09,ukk3106-32500
36083,2020-08-07,ukk3103-29000
57438,2020-09-27,ukj3400-17500
16595,2020-06-22,ukj3307-16350
96619,2021-07-28,ukk4200-23100
139307,2022-06-07,ukj4208-13600
20604,2020-07-01,ukk4304-34450
112813,2021-09-05,ukj4210-12750
142638,2022-06-15,ukj2407-15400
21396,2020-07-03,ukk3106-27500
116929,2021-09-15,ukj2201-14400
181304,2022-09-17,ukh1303-10600
17327,2020-06-24,ukd5400-40800
25670,2020-07-13,ukk4305-25600
54402,2020-09-20,ukf3102-09300
90669,2021-07-14,ukk3101-26900
164752,2022-08-06,ukk4304-34100
100199,2021-08-06,ukj3307-16350
117787,2021-09-17,ukj2403-15900
104995,2021-08-17,ukk3106-32400
118470,2021-09-19,ukc1202-06500
62504,2021-05-08,ukj3400-18350
108390,2021-08-25,ukk4305-25400
59134,2021-04-30,ukj3305-16700
151635,2022-07-06,ukk3105-30200
6606,2020-05-29,ukk3102-31600
45861,2020-08-30,ukk4304-34300
97674,2021-07-31,ukj2402-15800
21233,2020-07-03,ukj3400-17600
12273,2020-06-12,ukd5300-41500
153703,2022-07-11,ukk3102-28600
163166,2022-08-03,uke1200-07900
175782,2022-09-04,ukd4200-42500
125140,2022-05-04,ukk3106-27800
28030,2020-07-19,ukk2201-17200
78112,2021-06-14,ukk3103-28900
78184,2021-06-14,ukk4200-23200
31963,2020-07-28,ukk4301-22100
124023,2022-04-29,uke1200-07900
93428,2021-07-21,ukh1305-10100
14622,2020-06-17,ukk3104-32550
27815,2020-07-19,ukc2106-04400
121496,2021-09-26,ukh1303-10650
9630,2020-06-05,ukk4200-23100
62131,2021-05-07,ukk2101-19160
67062,2021-05-19,uki1101-11930
39751,2020-08-16,ukj3307-16400
173809,2022-08-29,ukj3400-17800
138198,2022-06-04,ukk3106-32310
52167,2020-09-14,ukk4301-21700
176090,2022-09-04,ukk3106-32320
82856,2021-06-26,ukc1202-06600
125414,2022-05-05,ukj4208-13400
163999,2022-08-05,ukd4312-42800
181986,2022-09-18,ukk3106-32340
67180,2021-05-19,ukk2205-21000
138897,2022-06-06,ukj4210-12600
80847,2021-06-21,ukf3102-09700
57112,2020-09-26,ukk3101-26520
93534,2021-07-21,ukj4210-12500
176939,2022-09-06,ukk4200-23100
8379,2020-06-02,ukk4200-24300
179744,2022-09-13,ukk1202-35700
107636,2021-08-24,uke1200-08000
143256,2022-06-16,ukk4100-26400
86418,2021-07-04,ukj4210-12850
179603,2022-09-13,uke2206-07400
53543,2020-09-18,uke1200-08700
3282,2020-05-21,ukk3105-31100
133697,2022-05-25,uke1200-07950
152752,2022-07-09,ukj3308-17000
150693,2022-07-04,ukk1100-36050
95885,2021-07-27,ukd4200-42100
139964,2022-06-09,ukc2102-03700
22548,2020-07-06,ukk2101-19100
113578,2021-09-07,ukj2201-14500
34760,2020-08-04,ukk2102-19170
104467,2021-08-16,ukk2204-20000
14680,2020-06-17,ukk4100-26400
2073,2020-05-18,ukk4301-22200
60193,2021-05-02,ukk4304-34410
35527,2020-08-06,ukj2402-15680
5763,2020-05-27,ukk3102-28800
126954,2022-05-09,ukd5300-41300
67679,2021-05-20,ukk3105-31350
144568,2022-06-19,ukk4305-26200
80778,2021-06-21,ukc2106-04400
49092,2020-09-07,ukk2204-20200
119,2020-05-14,ukh1407-10850
88726,2021-07-10,ukc1404-05800
96454,2021-07-28,ukj4208-13300
79510,2021-06-18,ukc2101-04000
168105,2022-08-14,ukk4200-23900
154247,2022-07-12,ukk4305-25800
81467,2021-06-22,ukk3103-29200
134483,2022-05-27,ukc1202-06700
30014,2020-07-24,ukh3100-11830
128217,2022-05-12,ukd5300-41300
164106,2022-08-05,ukj2403-15900
134002,2022-05-25,ukk4200-23700
153326,2022-07-10,ukk3105-30800
139664,2022-06-08,ukj2100-14800
156375,2022-07-18,ukc1202-06700
686,2020-05-15,ukk2206-20500
147028,2022-06-25,ukk3106-27800
14267,2020-06-16,ukk4200-23700
166581,2022-08-11,ukh1406-11000
104998,2021-08-17,ukk4100-26500
76276,2021-06-10,ukh3311-11650
75032,2021-06-07,ukj2202-14100
112149,2021-09-03,ukk4304-34410
50327,2020-09-10,ukk1202-36000
28431,2020-07-20,ukk1100-36050
122729,2021-09-29,uke1301-09020
90013,2021-07-13,ukd1103-45600
72375,2021-06-01,ukc1101-06000
4941,2020-05-25,ukk3104-32700
94824,2021-07-24,ukk2201-18800
124643,2022-04-30,ukk2302-35500
162296,2022-08-01,ukd1102-44200
51909,2020-09-14,ukh3100-11902
66840,2021-05-18,ukk3105-31300
110045,2021-08-29,ukk4301-21900
23462,2020-07-08,ukk3103-31500
25381,2020-07-13,ukh3100-11780
165551,2022-08-08,ukk3106-27700
161596,2022-07-30,ukj3400-17500
56984,2020-09-26,ukj2202-14100
184953,2022-09-25,ukk4301-21600
69268,2021-05-24,ukk2204-19700
28909,2020-07-21,ukk3101-26600
46569,2020-09-01,ukk2205-21100
86779,2021-07-05,ukj2402-15700
153665,2022-07-11,ukk2201-18900
180780,2022-09-15,ukk4306-22700
29816,2020-07-23,ukk3106-27500
40374,2020-08-17,ukk4200-24200
37716,2020-08-11,ukk2201-18750
124733,2022-04-30,ukk3106-32320
26509,2020-07-15,ukk4305-25300
71891,2021-05-30,ukk3106-32320
155704,2022-07-16,ukj3400-17700
84048,2021-06-28,ukk4100-26500
168898,2022-08-16,ukk3105-30400
142882,2022-06-15,ukk4305-26000
83675,2021-06-27,ukk4305-26000
79262,2021-06-17,ukj3400-18200
84954,2021-07-01,ukc1404-05700
162077,2022-07-31,ukk2102-19350
105504,2021-08-19,ukc2203-05100
54417,2020-09-20,ukh1305-10100
19936,2020-06-30,ukj2202-14100
81800,2021-06-23,ukj4210-12400
94797,2021-07-24,ukj4210-12800
74136,2021-06-05,ukf1400-09750
165437,2022-08-08,ukk2101-19050
163086,2022-08-02,ukk4305-25600
59082,2021-04-30,ukh3100-11770
25097,2020-07-12,ukk2205-21000
62556,2021-05-08,ukk2102-19450
130057,2022-05-16,ukj4210-12630
104402,2021-08-16,ukj3400-18200
154679,2022-07-13,ukk4306-22900
111624,2021-09-02,ukk3102-28700
158341,2022-07-22,ukk3102-31900
39359,2020-08-15,ukj4208-13700
151946,2022-07-07,ukj4210-12450
178168,2022-09-09,ukk3105-31000
27425,2020-07-18,ukd4312-42800
186399,2022-09-29,ukj2100-15000
136825,2022-06-01,ukk2201-18900
63299,2021-05-10,ukj2201-14550
78293,2021-06-15,ukd4305-43260
114489,2021-09-09,ukj4210-12750
117605,2021-09-16,ukk4305-25100
119508,2021-09-21,ukj4210-12300
141170,2022-06-11,ukk4301-21800
142650,2022-06-15,ukj3400-17400
110635,2021-08-31,ukh3311-11700
90837,2021-07-15,ukc2203-04900
155193,2022-07-15,ukf3102-09400
84947,2021-07-01,ukc1101-06200
12359,2020-06-12,ukj2202-14150
65117,2021-05-14,ukk3102-31600
46385,2020-09-01,uke1200-08600
83435,2021-06-27,ukj3304-16850
167124,2022-08-12,ukk2101-19150
130161,2022-05-16,ukk3104-33650
15600,2020-06-20,ukc2102-03800
94693,2021-07-24,ukh1407-10750
134450,2022-05-26,ukk4305-24800
135185,2022-05-28,ukk3102-31800
89189,2021-07-11,ukd4312-42800
5095,2020-05-26,ukd1102-44400
125832,2022-05-06,ukj4208-13300
111969,2021-09-03,ukj4210-12450
47644,2020-09-04,uke1200-08000
168186,2022-08-15,ukc2204-05400
116316,2021-09-13,ukk4200-23501
185407,2022-09-26,ukk4305-26300
172744,2022-08-26,ukk4301-21600
26191,2020-07-15,uke2206-07700
179045,2022-09-11,ukk4200-23200
100797,2021-08-07,ukk3106-32100
104625,2021-08-16,ukk4305-26000
108769,2021-08-26,ukk4100-26500
135668,2022-05-29,ukk3106-32100
87147,2021-07-06,ukh1305-10300
151238,2022-07-05,ukk3106-27800
146795,2022-06-25,ukh1407-10750
159766,2022-07-26,ukc2204-05400
118122,2021-09-18,uke2206-07000
115304,2021-09-11,ukj4202-12150
154411,2022-07-13,ukj2205-14200
148450,2022-06-29,uke2206-07600
34461,2020-08-03,ukk3106-32310
18142,2020-06-26,ukc2300-05600
122974,2021-09-29,ukk3105-30300
179404,2022-09-12,ukk3103-31500
122642,2021-09-28,ukk4305-26000
114766,2021-09-10,uke1200-08900
121980,2021-09-27,ukj2407-15400
57185,2020-09-26,ukk3106-27900
100571,2021-08-07,ukh3306-11750
111853,2021-09-03,ukf3102-09700
121291,2021-09-25,ukk3104-33400
9092,2020-06-04,ukk2204-19700
90059,2021-07-13,ukf3102-09100
158286,2022-07-22,ukk2102-19190
166543,2022-08-11,uke1200-08900
164033,2022-08-05,ukf3102-09300
117218,2021-09-16,ukc1404-05800
165290,2022-08-08,uke2206-07600
55837,2020-09-23,ukk2206-20500
6226,2020-05-28,ukk3105-30800
35175,2020-08-05,ukk2101-19030
41803,2020-08-21,ukh3100-11850
147809,2022-06-27,ukk3102-28600
180433,2022-09-15,uke1200-08300
19379,2020-06-29,ukc1202-06650
9976,2020-06-06,ukk3102-31700
75684,2021-06-08,ukk4301-21600
25913,2020-07-14,ukk2101-19030
24162,2020-07-10,ukj2402-15800
123757,2022-04-28,ukj4210-12850
155206,2022-07-15,ukh1305-10000
41483,2020-08-20,ukk1202-35700
155936,2022-07-16,ukk4305-26300
162500,2022-08-01,ukk2102-19450
92005,2021-07-17,ukk3106-32340
146350,2022-06-24,ukf3102-09200
132134,2022-05-21,ukj3400-18200
42402,2020-08-22,ukk3103-29500
22945,2020-07-07,ukj4210-12300
120531,2021-09-23,ukk4304-34600
62590,2021-05-08,ukk3101-26530
122133,2021-09-27,ukk3104-33700
70950,2021-05-28,ukk2205-20970
80547,2021-06-20,ukj4210-12630
164746,2022-08-06,ukk4301-21800
110908,2021-08-31,ukk4305-25800
179955,2022-09-14,ukc1404-05900
147068,2022-06-25,ukk4301-22200
56802,2020-09-25,ukk4301-22100
43536,2020-08-25,ukj3305-16700
101620,2021-08-09,ukk3105-31450
18155,2020-06-26,ukd4200-42100
70503,2021-05-27,ukk1302-11760
23780,2020-07-09,ukj4208-13500
101017,2021-08-08,ukj2310-11945
120884,2021-09-24,ukk3105-30750
77509,2021-06-13,ukh1305-10200
39239,2020-08-15,uke2206-07400
168526,2022-08-15,ukk4200-23900
106633,2021-08-21,ukk3105-30300
21680,2020-07-04,ukj4209-11975
140235,2022-06-09,ukk3102-31650
29569,2020-07-23,ukh1303-10350
54736,2020-09-21,ukc1101-06000
124942,2022-05-04,ukj2202-14150
148256,2022-06-28,ukk3104-33000
107714,2021-08-24,ukj2202-14100
91441,2021-07-16,ukj4210-12630
175238,2022-09-01,ukk3106-28000
115291,2021-09-11,ukj3400-17700
43718,2020-08-25,ukk3106-28400
35769,2020-08-06,ukk4305-25100
38484,2020-08-13,ukj3305-16700
24057,2020-07-10,ukd4312-42800
